26,"(5000, 0, 0)",[ 203.08328622],[ 184.71170485],[ 119.07700421],[ 105.46952201],[ 1249.738282],[ 1220.298062],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
27,"(5000, 1000, 0)",[ 153.30897252],[ 141.33639448],[ 83.94135037],[ 74.26735788],[ 1150.933356],[ 1124.12153077],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
28,"(5000, 2000, 0)",[ 123.43237444],[ 116.06271193],[ 61.89020973],[ 56.72317957],[ 1074.116021],[ 1052.63560133],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
29,"(5000, 3000, 0)",[ 105.67053255],[ 101.66234233],[ 50.41589946],[ 48.53690416],[ 1026.85273583],[ 1018.5434294],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
30,"(5000, 4000, 0)",[ 95.53982844],[ 96.60852822],[ 45.78705691],[ 45.3731519],[ 1010.505188],[ 1008.931952],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
31,"(6000, 0, 0)",[ 280.95995583],[ 259.40846801],[ 94.4235732],[ 82.76494151],[ 976.05186],[ 944.90690183],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
32,"(6000, 1000, 0)",[ 224.14101339],[ 209.41463247],[ 64.05793241],[ 56.72733069],[ 876.71157233],[ 850.171292],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
33,"(6000, 2000, 0)",[ 184.59120207],[ 176.3189454],[ 46.44399096],[ 42.57067949],[ 811.11025517],[ 793.0365969],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
34,"(6000, 3000, 0)",[ 163.22334686],[ 158.30436481],[ 37.92477717],[ 35.86972964],[ 769.32314667],[ 758.614098],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
35,"(6000, 4000, 0)",[ 151.71307132],[ 152.1183582],[ 33.76800716],[ 33.68200634],[ 745.61073267],[ 744.694388],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
36,"(7000, 0, 0)",[ 386.57443039],[ 361.66703456],[ 81.90488244],[ 70.64144462],[ 744.044114],[ 708.94810272],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
37,"(7000, 1000, 0)",[ 320.82880748],[ 299.19354176],[ 54.4015348],[ 47.35469204],[ 655.734076],[ 632.1882095],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
38,"(7000, 2000, 0)",[ 274.58865387],[ 264.32823011],[ 39.01084857],[ 35.52387029],[ 594.49934747],[ 579.57584619],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
39,"(7000, 3000, 0)",[ 247.8405083],[ 238.78386758],[ 30.96395373],[ 29.13187782],[ 556.55237482],[ 548.6205956],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
40,"(7000, 4000, 0)",[ 236.03224238],[ 235.26071584],[ 26.35503964],[ 26.02468901],[ 536.941362],[ 536.514728],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
41,"(8000, 0, 0)",[ 522.12143817],[ 497.97191413],[ 77.49887298],[ 66.09845798],[ 556.74788532],[ 522.40511817],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
42,"(8000, 1000, 0)",[ 449.82071067],[ 429.71762153],[ 50.63584589],[ 44.84355475],[ 477.85178343],[ 458.26014],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
43,"(8000, 2000, 0)",[ 398.64454307],[ 385.13808446],[ 36.96791771],[ 33.49322391],[ 422.48139192],[ 411.60592268],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
44,"(8000, 3000, 0)",[ 365.96120336],[ 359.08513034],[ 28.4193663],[ 25.78892867],[ 391.54301369],[ 384.37157446],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
45,"(8000, 4000, 0)",[ 348.44254571],[ 349.71488317],[ 25.56531136],[ 25.56531136],[ 371.78957232],[ 371.27075282],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
46,"(9000, 0, 0)",[ 704.47435965],[ 672.85167681],[ 81.47706341],[ 70.39530333],[ 407.20836565],[ 383.13843312],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
47,"(9000, 1000, 0)",[ 619.70621494],[ 593.67078033],[ 54.13602872],[ 47.28535369],[ 337.77508565],[ 323.77541562],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
48,"(9000, 2000, 0)",[ 559.3447615],[ 545.200873],[ 38.96527192],[ 35.54978508],[ 295.622845],[ 283.59849877],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
49,"(9000, 3000, 0)",[ 523.2959865],[ 511.59615267],[ 30.8848336],[ 28.9662267],[ 264.3857779],[ 260.8159568],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
50,"(9000, 4000, 0)",[ 505.5941746],[ 504.881496],[ 26.15006344],[ 25.7349834],[ 254.73941269],[ 253.4631448],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
51,"(10000, 0, 0)",[ 925.733018],[ 893.434544],[ 94.32289155],[ 81.89352861],[ 298.89032108],[ 274.58865387],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
52,"(10000, 1000, 0)",[ 830.575094],[ 805.61269923],[ 63.82420872],[ 56.58064915],[ 237.18409719],[ 224.14101339],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
53,"(10000, 2000, 0)",[ 769.61235667],[ 749.840692],[ 46.05914002],[ 41.98154505],[ 200.21577549],[ 190.47486756],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
54,"(10000, 3000, 0)",[ 722.421393],[ 711.437095],[ 37.52765247],[ 35.5277436],[ 176.3105414],[ 170.37641784],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
55,"(10000, 4000, 0)",[ 704.55685765],[ 704.47482965],[ 33.59885854],[ 32.80395956],[ 163.76549397],[ 164.36943942],True
